No,회사,제목,지역,상세보기 페이지
1,대한산업보건협회,대한산업보건협회 대전세종 간호사 모집(보건관리),대전,https://www.saramin.co.kr/zf_user/company-info/view?csn=a1pWdWgySVBRT21qUzFOMzhBSVFkUT09
2,이도클럽디해운대(주),클럽디 오아시스  의무실 간호사 계약직 채용 (사원~주임급),부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=T0pZZlhxVmh4djJLL2IwZUhQc0trQT09
3,부산외국어고등학교,2026학년도 부산외국어고등학교 일반계약직(간호사) 채용,부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=Qk9INU4vVEMxd1F5a2hOazUra3FCZz09
4,프라임병원,BS길 종합병원 간호사 채용 (내시경실 / 정형외과 외래),부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=R3R4ZjlKRUlkdFhMNE1TYUZpVVpTQT09
5,(주)아성다이소,다이소 안성물류센터 야간 보건관리자(간호사) 채용,경기,https://www.saramin.co.kr/zf_user/company-info/view?csn=bytsRWZDbGYvamdqQTh4U2Qzd0xQUT09
6,(의)한마음국제의료재단,창원한마음병원 전원전담 간호사 채용,경남,https://www.saramin.co.kr/zf_user/company-info/view?csn=aWxXYnZPQjhuZ2R4K3g3Q05uY0pJdz09
7,동아대학교의료원,2026년도 정규직(임상지원간호사) 직원 공개채용,부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=aXJlbyt4RVIzMUtiUnBnZUVCYTVpZz09
8,(재)한국의학연구소,"[대구KMI]내시경 오전,전일 계약직 채용공고(간호사,간호조무사)",대구,https://www.saramin.co.kr/zf_user/company-info/view?csn=T3JraUlxV2YwQkU2QnIzOVhsZkR0QT09
9,(의)영훈의료재단,대전선병원 전담간호사 모집,대전,https://www.saramin.co.kr/zf_user/company-info/view?csn=U3JCempjQ2FDYTFlYUZGM1ZiNGNMQT09
10,동남권원자력의학원,정규직 간호직(외과 전담 간호사) 공개 채용,부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=b0tLellvdzJzZzdCcWJaUk8wZVpQUT09
11,(주)케이티아이에스,[계명대 동산병원] 전화예약센터 상담 간호사 채용,대구,https://www.saramin.co.kr/zf_user/company-info/view?csn=TGJ1M2swcDZObzFZUnI3dE9ENGdlQT09
12,고신대학교복음병원,[임시직] 간호사(육아휴직대체),부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=SVdvZ2JEMkRsaDB6bzkvMDBxck9pQT09
13,고신대학교복음병원,[정규직] 경력간호사 모집공고,부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=SVdvZ2JEMkRsaDB6bzkvMDBxck9pQT09
14,삼육부산병원,삼육부산병원 낮병동 간호사 모집,부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=SzhwQ1pBUjByRnNXYXEwQ1lLTi9CZz09
15,삼육부산병원,감염관리실 간호사 모집,부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=SzhwQ1pBUjByRnNXYXEwQ1lLTi9CZz09
16,MAISON GLAD JEJU,[수영장간호사] 메종 글래드 제주 수영장 안전요원(간호사),제주,https://www.saramin.co.kr/zf_user/company-info/view?csn=MDBlRndlZThCb2pTUldsaUdMMEpkdz09
17,(학)동아학숙,동아대학교대신병원  병동3교대 간호사모집(재활의료기관),부산,https://www.saramin.co.kr/zf_user/company-info/view?csn=a0NZY1BwZ1lrNCtZa21IblFsaWcvQT09
18,의료법인 마리아의료재단 마리아병원,[동대구역/난임병원] 대구 마리아의원 외래 간호사 채용,대구,https://www.saramin.co.kr/zf_user/company-info/view?csn=QktadUkxd2NNVGkrcEhDcndWUTY1dz09
